id	item_group_id	title	description	link	image_link	additional_image_link	price	sale_price	sale_price_effective_date	availability	shipping_weight	brand	mpn	condition	product_type	google_product_category	identifier_exists	is_bundle	size	gender	age_group	color	retailgroupcode	categorypath	gtin
2933	 	Black Cotton Boxer	Constructed from 100% cotton. Signature boxer features a false fly, and longer out-seam. Sized Adult S-XXL. Unisex fit.	http://ecommercedemo.sparity.com/black-cotton-boxer.html?utm_source=google_shopping&m=configurable	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11B	New	Apparel	Apparel & Accessories > Clothing > Activewear > Bicycle Activewear	TRUE	FALSE	Adult 2X, Adult L, Adult M, Adult S, Adult XL	unisex	adult	black	C11	MEN > LOUNGE + SLEEPWEAR > Boxer Shorts	 
12589	C11B	Black Cotton Boxer	Black Cotton Boxer	http://ecommercedemo.sparity.com/black-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=10&aid=12589	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11B_2X	New	Apparel	Apparel & Accessories > Clothing > Activewear > Bicycle Activewear	TRUE	FALSE	Adult 2X	unisex	adult	black	C11	MEN > LOUNGE + SLEEPWEAR > Boxer Shorts	638529002566
12590	C11B	Black Cotton Boxer	Black Cotton Boxer	http://ecommercedemo.sparity.com/black-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=11&aid=12590	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11B_L	New	Apparel	Apparel & Accessories > Clothing > Activewear > Bicycle Activewear	TRUE	FALSE	Adult L	unisex	adult	black	C11	MEN > LOUNGE + SLEEPWEAR > Boxer Shorts	638529002344
12591	C11B	Black Cotton Boxer	Black Cotton Boxer	http://ecommercedemo.sparity.com/black-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=12&aid=12591	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11B_M	New	Apparel	Apparel & Accessories > Clothing > Activewear > Bicycle Activewear	TRUE	FALSE	Adult M	unisex	adult	black	C11	MEN > LOUNGE + SLEEPWEAR > Boxer Shorts	638529002238
12592	C11B	Black Cotton Boxer	Black Cotton Boxer	http://ecommercedemo.sparity.com/black-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=13&aid=12592	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11B_S	New	Apparel	Apparel & Accessories > Clothing > Activewear > Bicycle Activewear	TRUE	FALSE	Adult S	unisex	adult	black	C11	MEN > LOUNGE + SLEEPWEAR > Boxer Shorts	638529002122
12593	C11B	Black Cotton Boxer	Black Cotton Boxer	http://ecommercedemo.sparity.com/black-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=14&aid=12593	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11B_34.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11B_XL	New	Apparel	Apparel & Accessories > Clothing > Activewear > Bicycle Activewear	TRUE	FALSE	Adult XL	unisex	adult	black	C11	MEN > LOUNGE + SLEEPWEAR > Boxer Shorts	638529002450
2938	 	White Cotton Boxer	Whether worn while lounging or as underwear, our Signature Cotton Boxers offer the perfect combination of style and comfort.	http://ecommercedemo.sparity.com/white-cotton-boxer.html?utm_source=google_shopping&m=configurable	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11W	New	Apparel	 	TRUE	FALSE	Adult 2X, Adult L, Adult M, Adult S, Adult XL	unisex	adult	white	C11	 	 
12614	C11W	White Cotton Boxer	White Cotton Boxer	http://ecommercedemo.sparity.com/white-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=10&aid=12614	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11W_2X	New	Apparel	 	TRUE	FALSE	Adult 2X	unisex	adult	white	C11	 	638529003068
12615	C11W	White Cotton Boxer	White Cotton Boxer	http://ecommercedemo.sparity.com/white-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=11&aid=12615	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11W_L	New	Apparel	 	TRUE	FALSE	Adult L	unisex	adult	white	C11	 	638529002849
12616	C11W	White Cotton Boxer	White Cotton Boxer	http://ecommercedemo.sparity.com/white-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=12&aid=12616	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11W_M	New	Apparel	 	TRUE	FALSE	Adult M	unisex	adult	white	C11	 	638529002733
12617	C11W	White Cotton Boxer	White Cotton Boxer	http://ecommercedemo.sparity.com/white-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=13&aid=12617	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11W_S	New	Apparel	 	TRUE	FALSE	Adult S	unisex	adult	white	C11	 	638529002627
12618	C11W	White Cotton Boxer	White Cotton Boxer	http://ecommercedemo.sparity.com/white-cotton-boxer.html?utm_source=google_shopping&m=configurable&134=14&aid=12618	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C11W_2.png	12.99 USD	 	 	in stock	0.25 lb	Boxercraft	C11W_XL	New	Apparel	 	TRUE	FALSE	Adult XL	unisex	adult	white	C11	 	638529002955
2940	 	South Beach Cotton VIP Pant	Make a statement with our one-of-a-kind lightweight VIP pants. Our premium women's pant. Features front accent pocket, stylish cuff, and 2-button false fly Satin tie and inner-waistband complete this stylish pant. Constructed from lightweight 3.6oz cotton sheeting. Sized Adult XS-XXL.	http://ecommercedemo.sparity.com/south-beach-cotton-vip-pant.html?utm_source=google_shopping&m=configurable	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png	32.99 USD	 	 	in stock	0.50 lb	Boxercraft	C16SOUTH	New	Apparel	 	TRUE	FALSE	Adult 2X, Adult L, Adult M, Adult S, Adult XL, Adult XS	female	adult	pink	C16	 	 
12619	C16SOUTH	South Beach Vip Cotton Pant	South Beach Vip Cotton Pant	http://ecommercedemo.sparity.com/south-beach-cotton-vip-pant.html?utm_source=google_shopping&m=configurable&134=10&aid=12619	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png	32.99 USD	 	 	in stock	0.50 lb	Boxercraft	C16SOUTH_2X	New	Apparel	 	TRUE	FALSE	Adult 2X	female	adult	pink	C16	 	638529893744
12620	C16SOUTH	South Beach Vip Cotton Pant	South Beach Vip Cotton Pant	http://ecommercedemo.sparity.com/south-beach-cotton-vip-pant.html?utm_source=google_shopping&m=configurable&134=11&aid=12620	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png	32.99 USD	 	 	in stock	0.50 lb	Boxercraft	C16SOUTH_L	New	Apparel	 	TRUE	FALSE	Adult L	female	adult	pink	C16	 	638529893751
12621	C16SOUTH	South Beach Vip Cotton Pant	South Beach Vip Cotton Pant	http://ecommercedemo.sparity.com/south-beach-cotton-vip-pant.html?utm_source=google_shopping&m=configurable&134=12&aid=12621	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png	http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png,http://ecommercedemo.sparity.com/media/catalog/product/C/1/C16SOUTH_2.png	32.99 USD	 	 	in stock	0.50 lb	Boxercraft	C16SOUTH_M	New	Apparel	 	TRUE	FALSE	Adult M	female	adult	pink	C16	 	638529893768
